iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
0,1.2246651649475098,-108.34849871593651,4.2542718680739915,-98.18507676352611,-114.13945149179519,2.2566933309440476,0.1,0.11949419975280762,0.10132479667663574,0.055286378,0.04217057,-108.34849871593651,12000,0.3484787940979004,1.000547301094432,0.006157833653180239
1,1.170250654220581,-85.66746340953459,2.352189349122349,-81.61826453726704,-90.9533867560396,2.1907771828731493,0.1,0.004869222640991211,0.10145187377929688,0.055239417,0.042530604,-106.08039518529633,12000,0.34125208854675293,0.08339378877472042,0.0024931408037457588
2,1.1624672412872314,-65.44447568117359,2.195736831936243,-60.293071201465665,-69.67683831580662,1.3980119636336945,0.1,0.005469799041748047,0.10696101188659668,0.055614322,0.0648342,-102.01680323488405,12000,0.3559696674346924,0.10164380166207858,0.0027442351619524088
3,1.3031985759735107,-50.91648117748241,2.09418598823729,-46.8816628809941,-56.12904224099158,1.3756681220256255,0.1,0.005074024200439453,0.11004018783569336,0.05626653,0.06579568,-96.90677102914388,12000,0.40099120140075684,0.08344643037160523,0.0037042595998880807
4,1.226118564605713,-39.3098952583376,1.7984477988123733,-35.605726487355035,-43.35002749946529,1.4559259590081037,0.1,0.005784273147583008,0.10888171195983887,0.055700835,0.05913853,-91.14708345206326,12000,0.6421303749084473,0.09509906534489929,0.004324802604777691
5,1.195434331893921,-31.474183210588993,1.1504477414750798,-28.731704517937818,-33.681632489528326,1.402642156924963,0.1,0.004525184631347656,0.1138298511505127,0.055091765,0.057887714,-85.17979342791583,12000,0.6929633617401123,0.07464155719597143,0.0033940519307647226
6,1.1994645595550537,-25.42230134439505,0.8607138431696649,-23.684369677713814,-26.956109532856754,1.434895962232557,0.1,0.005186319351196289,0.10935592651367188,0.05562851,0.0579007,-79.20404421956376,12000,0.6921482086181641,0.05298216505264149,0.00242422187956639
7,1.1837518215179443,-21.5379891018982,0.5524476253849173,-20.477626775613473,-22.655145120472774,1.943902254885928,0.1,0.0062694549560546875,0.13798809051513672,0.05597821,0.03915551,-73.4374387077972,12000,0.6858856678009033,0.02545178046045382,0.0017328769868266236
8,1.1923017501831055,-19.366626333955697,0.27552824332544185,-18.78888643945718,-19.919806408529503,2.312080015196688,0.1,0.006304264068603516,0.12728238105773926,0.055695042,0.032765828,-68.03035747041305,12000,0.7234048843383789,0.011076221679267962,0.0008234141636427151
9,1.2149386405944824,-18.112483714687343,0.24564115697263378,-17.582665107441752,-18.59783285971144,2.2617516495135397,0.1,0.004622220993041992,0.10699105262756348,0.055959783,0.033119295,-63.03857009484048,12000,0.7784359455108643,0.0036784070722431514,0.0004657579913354457
10,1.2586805820465088,-17.344636111739224,0.13820229024913544,-17.082375635285068,-17.652323933125434,2.6187570854591358,0.1,0.004857063293457031,0.11080098152160645,0.05548504,0.028773552,-58.469176696530354,12000,0.8084216117858887,0.0014321655719500245,0.0001628291830397703
11,1.2733714580535889,-16.95816088763937,0.08036759268403856,-16.830221382445604,-17.14073815358856,2.617019671833636,0.1,0.006281137466430664,0.11080121994018555,0.05542569,0.027030181,-54.31807511564126,12000,0.831728458404541,0.0004845096318183878,7.50561633101482e-05
12,1.2075166702270508,-16.738097912866056,0.04502701092675166,-16.67998099187222,-16.87158661496697,3.757925674563514,0.1,0.004684925079345703,0.10479068756103516,0.055280913,0.019442605,-50.56007739536374,12000,0.8584320545196533,0.00012796907802616102,1.9495408272685244e-05
13,1.2097735404968262,-16.6652019516219,0.025113663897917953,-16.62814311536289,-16.722414782190988,4.572171183626159,0.1,0.005664348602294922,0.11196422576904297,0.05365086,0.01600129,-47.17058985098956,12000,0.8952629566192627,2.732800244442476e-05,9.261171632718297e-06
14,1.2163963317871094,-16.62486910521741,0.013575781892277794,-16.604762571909053,-16.663859541646776,7.745931971696882,0.1,0.006822824478149414,0.11776399612426758,0.7787675,-0.023783758,-44.11601777641235,12000,0.9624085426330566,8.668747825968543e-06,3.971125405766259e-06
15,1.2555491924285889,-16.800545324052596,0.2761523887781963,-16.654005832803996,-18.095129358782973,2.1480699579354683,0.1,0.005393028259277344,0.10943293571472168,0.06043175,0.037881643,-41.384470531176376,12000,0.9861507415771484,0.0005111974586039972,0.0004168931418165808
16,1.228064775466919,-16.651259066304743,0.022939756756599986,-16.622102237513726,-16.709205457955797,4.735226247761577,0.1,0.004978656768798828,0.10818314552307129,0.067988925,0.014722167,-38.91114938468921,12000,0.9726190567016602,6.463966505650339e-05,1.0333686647119435e-05
17,1.2185533046722412,-16.61628502530171,0.009890427453374342,-16.60422051431689,-16.643602500578726,9.91103691829345,0.1,0.0046083927154541016,0.10970640182495117,8.340267,-0.39268363,-36.681662948750464,12000,0.967982292175293,1.0660432484862763e-05,1.4140027268811988e-05
18,1.2624123096466064,-22.203828176287487,0.23233837166954419,-21.853871314886643,-22.658542556144006,1.7654157699524526,0.1,0.005043745040893555,0.10784006118774414,0.05854187,0.048465423,-35.23387947150417,12000,0.9609713554382324,0.06499505085352131,0.00044653138047511784
