Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0 -108.35  0.00 -100000000.00 
   1 -85.67  0.00 -108.35 
   2 -65.44  0.00 -85.67 
   3 -50.92  0.00 -65.44 
   4 -39.31  0.00 -50.92 
   5 -31.47  0.00 -39.31 
   6 -25.42  0.00 -31.47 
   7 -21.54  0.00 -25.42 
   8 -19.37  0.00 -21.54 
   9 -18.11  0.00 -19.37 
  10 -17.34  0.00 -18.11 
  11 -16.96  0.00 -17.34 
  12 -16.74  0.00 -16.96 
  13 -16.67  0.00 -16.74 
  14 -16.62  0.00 -16.67 
  15 -16.80  0.00 -16.62 
  16 -16.65  0.00 -16.62 
  17 -16.62  0.00 -16.62 
  18 -22.20  0.00 -16.62 
  19 -20.28  0.00 -16.62 
  20 -18.77  0.00 -16.62 
  21 -17.79  0.00 -16.62 
  22 -17.24  0.00 -16.62 
  23 -16.93  0.00 -16.62 
  24 -16.76  0.00 -16.62 
  25 -16.68  0.00 -16.62 
  26 -193.05  0.00 -16.62 
  27 -189.28  0.00 -16.62 
  28 -184.26  0.00 -16.62 
  29 -180.22  0.00 -16.62 
  30 -176.91  0.00 -16.62 
  31 -174.38  0.00 -16.62 
  32 -172.18  0.00 -16.62 
  33 -170.62  0.00 -16.62 
  34 -169.39  0.00 -16.62 
  35 -168.48  0.00 -16.62 
  36 -167.80  0.00 -16.62 
  37 -167.37  0.00 -16.62 
  38 -167.07  0.00 -16.62 
  39 -166.88  0.00 -16.62 
  40 -166.79  0.00 -16.62 
  41 -166.74  0.00 -16.62 
  42 -166.71  0.00 -16.62 
  43 -166.68  0.00 -16.62 
  44 -166.66  0.00 -16.62 
  45 -166.64  0.00 -16.62 
  46 -166.63  0.00 -16.62 
  47 -166.63  0.00 -16.62 
  48 -166.63  0.00 -16.62 
  49 -166.64  0.00 -16.62 
  50 -166.65  0.00 -16.62 
  51 -166.63  0.00 -16.62 
  52 -166.62  0.00 -16.62 
  53 -166.61  0.00 -16.62 
  54 -166.61  0.00 -16.62 
  55 -166.61  0.00 -16.62 
  56 -166.61  0.00 -16.62 
  57 -166.61  0.00 -16.62 
  58 -166.61  0.00 -16.62 
  59 -166.61  0.00 -16.62 
  60 -166.61  0.00 -16.62 
  61 -166.61  0.00 -16.62 
  62 -166.61  0.00 -16.62 
  63 -166.61  0.00 -16.62 
  64 -166.60  0.00 -16.62 
  65 -166.60  0.00 -16.62 
  66 -166.60  0.00 -16.62 
  67 -166.60  0.00 -16.62 
  68 -166.60  0.00 -16.62 
  69 -166.60  0.00 -16.62 
  70 -166.60  0.00 -16.62 
  71 -166.60  0.00 -16.62 
  72 -166.60  0.00 -16.62 
  73 -166.60  0.00 -16.62 
  74 -166.60  0.00 -16.62 
  75 -166.60  0.00 -16.62 
  76 -166.60  0.00 -16.62 
  77 -166.60  0.00 -16.62 
  78 -166.60  0.00 -16.62 
  79 -166.60  0.00 -16.62 
  80 -166.60  0.00 -16.62 
  81 -166.60  0.00 -16.62 
  82 -166.60  0.00 -16.62 
  83 -166.60  0.00 -16.62 
  84 -166.60  0.00 -16.62 
  85 -166.60  0.00 -16.62 
  86 -166.61  0.00 -16.62 
  87 -166.60  0.00 -16.62 
  88 -166.60  0.00 -16.62 
  89 -166.60  0.00 -16.62 
  90 -166.60  0.00 -16.62 
  91 -166.60  0.00 -16.62 
  92 -166.60  0.00 -16.62 
  93 -166.60  0.00 -16.62 
  94 -166.60  0.00 -16.62 
  95 -166.60  0.00 -16.62 
  96 -166.60  0.00 -16.62 
  97 -166.60  0.00 -16.62 
  98 -166.60  0.00 -16.62 
  99 -166.60  0.00 -16.62 
 100 -166.60  0.00 -16.62 
 101 -166.60  0.00 -16.62 
 102 -166.60  0.00 -16.62 
 103 -166.60  0.00 -16.62 
 104 -166.60  0.00 -16.62 
 105 -166.60  0.00 -16.62 
 106 -166.60  0.00 -16.62 
 107 -166.60  0.00 -16.62 
 108 -166.60  0.00 -16.62 
 109 -166.60  0.00 -16.62 
